,dist
6141d279ee0a3fd43fb47b1d.json,19.242640687119284
61423dff31cf3ef3d4a9f402.json,19.65685424949238
61425c963ac25c70a5c6cb97.json,54.41421356237309
6142cb6a31cf3ef3d4a9f62e.json,20.848191962583275
6141d21131cf3ef3d4a9ee7a.json,19.39834563766817
6141f2dbee0a3fd43fb47d9b.json,5.650281539872885
61421a053ac25c70a5c6cabb.json,51.0
61420eee3ac25c70a5c6ca97.json,54.0
6141f47a4e27a1844a5f0470.json,43.39834563766817
61420fc3ee0a3fd43fb47e67.json,16.605551275463988
6141d6bd31cf3ef3d4a9ef40.json,19.812559200041267
6141cf171d648932fbc3428f.json,37.242640687119284
6141d7274e27a1844a5f0206.json,43.82842712474619
614235359cbada84a8676ccf.json,29.23606797749979
614259d74e27a1844a5f0798.json,43.47213595499958
6144e2694e27a1844a5f0ada.json,43.39834563766817
61420cbeee0a3fd43fb47e59.json,17.650281539872886
6142080aee0a3fd43fb47e3d.json,5.0
614262023ac25c70a5c6cba5.json,54.236067977499786
6141cf1bee0a3fd43fb479e9.json,17.650281539872886
6141f5f7baaf234b35290522.json,78.0
6141f2cf4e27a1844a5f0458.json,43.767828935632366
61427f6a4e27a1844a5f082a.json,43.39834563766817
6141fe86baaf234b35290564.json,78.0
6141dad59cbada84a8676a19.json,44.47870866461908
6141e2304e27a1844a5f0332.json,40.60555127546399
6141d1e74e27a1844a5f0130.json,44.47870866461908
6141f910baaf234b35290538.json,78.0
6141e5dabaaf234b3529045e.json,78.0
6142206d3ac25c70a5c6cad7.json,55.236067977499786
6141d0103ac25c70a5c6c881.json,55.82842712474619
614219b031cf3ef3d4a9f2f4.json,20.605551275463988
6142466e4e27a1844a5f0724.json,43.60555127546399
6141cf319cbada84a86767ef.json,43.01976483783709
6141d3be4e27a1844a5f0188.json,40.60555127546399
6141f15bee0a3fd43fb47d89.json,19.812559200041267
6141e98b31cf3ef3d4a9f0da.json,20.019764837837084
6141dc1631cf3ef3d4a9efda.json,18.47213595499958
6141cf2931cf3ef3d4a9ed62.json,22.00389691313216
6142bd594e27a1844a5f0908.json,43.39834563766817
6141d0719cbada84a867688f.json,40.60555127546399
6141d3459cbada84a867692f.json,43.39834563766817
614209924e27a1844a5f0568.json,40.60555127546399
6141fbce4e27a1844a5f04d8.json,44.41421356237309
6141e0683ac25c70a5c6c97d.json,56.60555127546399
614201973ac25c70a5c6ca5d.json,55.82842712474619
6141f1c9baaf234b35290500.json,77.0
61423bb04e27a1844a5f06e8.json,43.01976483783709
6141e4ff9cbada84a8676adb.json,40.60555127546399
6141cfb2baaf234b35290200.json,78.0
61422ec33ac25c70a5c6cb13.json,55.0
6141d12731cf3ef3d4a9ee40.json,22.84819196258327
614258363ac25c70a5c6cb91.json,55.82842712474619
614217ce31cf3ef3d4a9f2e8.json,20.43397840021018
6141d0463ac25c70a5c6c889.json,55.236067977499786
6141d05d4e27a1844a5f00c6.json,41.82842712474619
61420bdbee0a3fd43fb47e53.json,20.39834563766817
61423e95baaf234b35290684.json,78.0
61421a0e31cf3ef3d4a9f2f6.json,17.605551275463988
6141d069ee0a3fd43fb47a9f.json,17.82842712474619
