,Z1,x1,y1,z1,Z2,x2,y2,z2,Z3,x3,y3,z3
6141eb094e27a1844a5f03dc,74.0,0.04166667,0.70833333,0.25,34.0,0.3333333333333333,0.54166667,0.144826,0.0,0.83333333,0.6666666666666666,0.144826
6141d6544e27a1844a5f01ea,74.0,0.91666667,0.3333333333333333,0.25,34.0,0.83333333,0.79166667,0.355174,0.0,0.08333333,0.54166667,0.355174
61421dc931cf3ef3d4a9f318,34.0,0.95833333,0.29166667,0.355174,0.0,0.54166667,0.20833333,0.25,0.0,0.70833333,0.91666667,0.144826
6141d0dabaaf234b35290260,74.0,0.41666667,0.20833333,0.25,0.0,0.08333333,0.54166667,0.355174,0.0,0.95833333,0.29166667,0.144826
6143483831cf3ef3d4a9f722,34.0,0.45833333,0.04166667,0.144826,0.0,0.58333333,0.41666667,0.144826,0.0,0.91666667,0.95833333,0.25
6142db3c4e27a1844a5f0954,74.0,0.79166667,0.20833333,0.25,34.0,0.58333333,0.79166667,0.355174,0.0,0.3333333333333333,0.91666667,0.144826
614209959cbada84a8676c3b,74.0,0.29166667,0.08333333,0.25,34.0,0.70833333,0.29166667,0.144826,34.0,0.08333333,0.04166667,0.355174
6141d1104e27a1844a5f00fc,74.0,0.41666667,0.58333333,0.25,34.0,0.83333333,0.04166667,0.355174,0.0,0.83333333,0.29166667,0.355174
61425bce31cf3ef3d4a9f4a6,34.0,0.45833333,0.16666667,0.144826,0.0,0.04166667,0.3333333333333333,0.25,0.0,0.58333333,0.41666667,0.355174
6141cf4d31cf3ef3d4a9ed86,34.0,0.58333333,0.29166667,0.144826,0.0,0.08333333,0.29166667,0.144826,0.0,0.54166667,0.70833333,0.25
6141d30c4e27a1844a5f0168,74.0,0.54166667,0.20833333,0.25,34.0,0.45833333,0.91666667,0.355174,0.0,0.95833333,0.41666667,0.144826
614274c03ac25c70a5c6cbd7,0.0,0.29166667,0.70833333,0.25,0.0,0.3333333333333333,0.6666666666666666,0.355174,0.0,0.58333333,0.79166667,0.144826
6141cf1731cf3ef3d4a9ed44,34.0,0.20833333,0.54166667,0.144826,0.0,0.3333333333333333,0.16666667,0.355174,0.0,0.91666667,0.95833333,0.25
6141ee3b9cbada84a8676b4b,74.0,0.6666666666666666,0.45833333,0.25,34.0,0.3333333333333333,0.16666667,0.355174,34.0,0.83333333,0.79166667,0.144826
6141fb9fbaaf234b3529054c,74.0,0.79166667,0.3333333333333333,0.25,0.0,0.3333333333333333,0.04166667,0.144826,0.0,0.83333333,0.91666667,0.355174
61420bd99cbada84a8676c4f,74.0,0.91666667,0.70833333,0.25,34.0,0.3333333333333333,0.29166667,0.355174,34.0,0.08333333,0.41666667,0.355174
6141ec563ac25c70a5c6c9db,0.0,0.04166667,0.58333333,0.25,0.0,0.70833333,0.41666667,0.355174,0.0,0.95833333,0.41666667,0.144826
6142031d9cbada84a8676c0b,74.0,0.04166667,0.45833333,0.25,34.0,0.3333333333333333,0.54166667,0.144826,34.0,0.83333333,0.16666667,0.355174
61421e623ac25c70a5c6cacd,0.0,0.08333333,0.41666667,0.355174,0.0,0.54166667,0.45833333,0.25,0.0,0.83333333,0.04166667,0.355174
614216593ac25c70a5c6cab1,0.0,0.29166667,0.45833333,0.25,0.0,0.58333333,0.04166667,0.355174,0.0,0.58333333,0.29166667,0.144826
6141d5963ac25c70a5c6c8fd,0.0,0.08333333,0.79166667,0.144826,0.0,0.16666667,0.20833333,0.25,0.0,0.70833333,0.54166667,0.355174
6142e0c84e27a1844a5f0962,74.0,0.54166667,0.45833333,0.25,34.0,0.95833333,0.41666667,0.144826,0.0,0.20833333,0.16666667,0.355174
6141d0a99cbada84a86768a1,74.0,0.16666667,0.3333333333333333,0.25,34.0,0.20833333,0.54166667,0.355174,34.0,0.58333333,0.16666667,0.355174
6141d5679cbada84a867697f,74.0,0.91666667,0.45833333,0.25,34.0,0.95833333,0.29166667,0.355174,34.0,0.08333333,0.04166667,0.144826
61420d8e31cf3ef3d4a9f292,34.0,0.08333333,0.29166667,0.355174,0.0,0.08333333,0.04166667,0.144826,0.0,0.41666667,0.83333333,0.25
6141e6de9cbada84a8676af7,74.0,0.91666667,0.3333333333333333,0.25,34.0,0.08333333,0.91666667,0.144826,34.0,0.08333333,0.29166667,0.355174
6143106131cf3ef3d4a9f6ca,34.0,0.3333333333333333,0.6666666666666666,0.144826,0.0,0.20833333,0.54166667,0.355174,0.0,0.54166667,0.08333333,0.25
61420f8731cf3ef3d4a9f2a6,34.0,0.58333333,0.6666666666666666,0.355174,0.0,0.54166667,0.95833333,0.25,0.0,0.70833333,0.16666667,0.144826
6141d0284e27a1844a5f00b2,74.0,0.79166667,0.70833333,0.25,34.0,0.58333333,0.29166667,0.355174,0.0,0.08333333,0.6666666666666666,0.144826
6142fc9eee0a3fd43fb47f93,34.0,0.70833333,0.79166667,0.144826,34.0,0.58333333,0.6666666666666666,0.144826,0.0,0.16666667,0.20833333,0.25
61425380baaf234b352906b6,74.0,0.16666667,0.83333333,0.25,0.0,0.45833333,0.04166667,0.355174,0.0,0.58333333,0.16666667,0.144826
6141d342baaf234b352902d8,74.0,0.6666666666666666,0.3333333333333333,0.25,0.0,0.3333333333333333,0.91666667,0.355174,0.0,0.70833333,0.79166667,0.355174
6141d18631cf3ef3d4a9ee58,34.0,0.20833333,0.16666667,0.355174,0.0,0.3333333333333333,0.41666667,0.144826,0.0,0.54166667,0.83333333,0.25
6141ec14ee0a3fd43fb47d4d,34.0,0.95833333,0.91666667,0.355174,34.0,0.45833333,0.16666667,0.144826,0.0,0.91666667,0.95833333,0.25
6141fb214e27a1844a5f04ce,74.0,0.16666667,0.95833333,0.25,34.0,0.83333333,0.79166667,0.355174,0.0,0.20833333,0.29166667,0.144826
6141ebce31cf3ef3d4a9f0fc,34.0,0.45833333,0.91666667,0.144826,0.0,0.20833333,0.6666666666666666,0.144826,0.0,0.79166667,0.08333333,0.25
614201c0baaf234b35290580,74.0,0.54166667,0.83333333,0.25,0.0,0.08333333,0.91666667,0.355174,0.0,0.3333333333333333,0.41666667,0.144826
6141cf16a05be5973bd77a67,74.0,0.04166667,0.3333333333333333,0.25,0.0,0.20833333,0.29166667,0.355174,-1.0,-1.0,-1.0,-1.0
6141cf17b842c2e72e2f2d54,34.0,0.95833333,0.16666667,0.355174,34.0,0.95833333,0.41666667,0.355174,-1.0,-1.0,-1.0,-1.0
6142b6824e27a1844a5f08f8,74.0,0.54166667,0.08333333,0.25,34.0,0.58333333,0.6666666666666666,0.144826,0.0,0.95833333,0.6666666666666666,0.144826
614210529cbada84a8676c69,74.0,0.41666667,0.45833333,0.25,34.0,0.83333333,0.79166667,0.355174,34.0,0.45833333,0.91666667,0.144826
6141ec1b3ac25c70a5c6c9d9,0.0,0.70833333,0.54166667,0.144826,0.0,0.70833333,0.54166667,0.355174,0.0,0.91666667,0.08333333,0.25
61433f7e31cf3ef3d4a9f716,34.0,0.58333333,0.79166667,0.355174,0.0,0.41666667,0.83333333,0.25,0.0,0.83333333,0.16666667,0.144826
6141f2de3ac25c70a5c6ca09,0.0,0.45833333,0.29166667,0.144826,0.0,0.58333333,0.41666667,0.144826,0.0,0.6666666666666666,0.08333333,0.25
6142d8693ac25c70a5c6cc59,0.0,0.45833333,0.91666667,0.144826,0.0,0.58333333,0.41666667,0.355174,0.0,0.91666667,0.70833333,0.25
61423aae3ac25c70a5c6cb3b,0.0,0.08333333,0.6666666666666666,0.355174,0.0,0.54166667,0.70833333,0.25,0.0,0.95833333,0.16666667,0.144826
6141f45c9cbada84a8676b8f,74.0,0.79166667,0.70833333,0.25,34.0,0.3333333333333333,0.6666666666666666,0.355174,34.0,0.08333333,0.04166667,0.144826
6141ffc34e27a1844a5f050a,74.0,0.6666666666666666,0.20833333,0.25,34.0,0.58333333,0.79166667,0.144826,0.0,0.45833333,0.6666666666666666,0.355174
61421e50ee0a3fd43fb47eaf,34.0,0.95833333,0.41666667,0.144826,34.0,0.70833333,0.16666667,0.144826,0.0,0.04166667,0.3333333333333333,0.25
